Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,LoanAmount
0,0,0,0,0,5849,0,360,1,1
0,1,1,0,0,4583,1508,360,1,0
0,1,0,0,1,3000,0,360,1,0
0,1,0,1,0,2583,2358,360,1,0
0,0,0,0,0,6000,0,360,1,0
0,1,2,0,1,5417,4196,360,1,1
0,1,0,1,0,2333,1516,360,1,0
0,1,3,0,0,3036,2504,360,0,1
0,1,2,0,0,4006,1526,360,1,1
0,1,1,0,0,12841,10399.9911456341,360,1,1
0,1,2,0,0,3200,700,360,1,0
0,1,2,0,0,2500,1840,360,1,0
0,1,2,0,0,3073,8106,360,1,1
0,0,0,0,0,1853,2840,360,1,0
0,1,2,0,0,1299,1086,148.882534119623,1,0
0,0,0,0,0,4950,0,360,1,0
0,0,1,1,0,3596,0,240,1,0
1,0,0,0,0,3510,0,360,0,0
0,1,0,1,0,4887,0,360,1,0
0,1,0,0,0,2600,3500,342,1,0
0,1,0,1,0,7660,0,360,0,0
0,1,1,0,0,5955,5625,360,1,1
0,1,0,1,0,2600,1911,360,0,0
0,1,2,1,0,3365,1917,360,0,0
0,1,1,0,0,3717,2925,360,1,1
0,1,0,0,1,9560,0,360,1,1
0,1,0,0,0,2799,2253,360,1,0
0,1,2,1,0,4226,1040,360,1,0
0,0,0,1,0,1442,0,360,1,0
1,0,2,0,0,3750,2083,360,1,0
0,1,1,0,0,4166,3369,360,1,1
0,0,0,0,0,3167,0,360,1,0
0,0,1,0,1,4692,0,360,1,0
0,1,0,0,0,3500,1667,360,1,0
0,0,3,0,0,12500,3000,360,1,1
0,1,0,0,0,2275,2067,360,1,1
0,1,0,0,0,1828,1330,342,0,0
1,1,0,0,0,3667,1459,360,1,0
0,0,0,0,0,4166,7210,360,1,1
0,0,0,1,0,3748,1668,360,1,0
0,0,0,0,0,3600,0,360,1,0
0,0,0,0,0,1800,1213,360,1,0
0,1,0,0,0,2400,0,360,1,0
0,1,0,0,0,3941,2336,360,1,0
0,1,0,1,1,4695,0,342,1,0
1,0,0,0,0,3410,0,342,1,0
0,1,1,0,0,5649,0,360,1,0
0,1,0,0,0,5821,0,360,1,0
1,1,0,0,0,2645,3440,360,0,0
1,0,0,0,0,4000,2275,360,1,0
1,1,0,1,0,1928,1644,360,1,0
1,0,0,0,0,3086,0,360,1,0
1,0,0,0,0,4230,0,360,1,0
0,1,2,0,0,4616,0,360,1,0
1,1,1,0,1,11500,0,360,0,1
0,1,2,0,0,2708,1167,360,1,0
0,1,0,0,0,2132,1591,360,1,0
0,1,0,0,0,3366,2200,360,1,0
0,1,1,0,0,8080,2250,360,1,1
0,1,2,1,0,3357,2859,360,1,0
0,1,0,0,0,2500,3796,360,1,0
0,1,3,0,0,3029,0,360,1,0
0,1,0,1,1,2609,3449,180,0,1
0,1,1,0,0,4945,0,360,0,1
1,0,0,0,0,4166,0,360,0,0
0,1,0,0,0,5726,4595,360,1,1
0,0,0,1,0,3200,2254,180,0,0
0,1,1,0,0,10750,0,360,1,1
0,1,3,1,1,7100,0,148.882534119623,1,0
1,0,0,0,0,4300,0,360,0,0
0,1,0,0,0,3208,3066,360,1,1
0,1,2,1,1,1875,1875,360,1,0
0,0,0,0,0,3500,0,300,1,0
0,1,3,1,0,4755,0,342,0,0
0,1,3,0,1,5266,1774,360,1,1
0,0,0,0,0,3750,0,480,1,0
0,0,0,0,0,3750,4750,360,1,1
0,1,1,0,1,1000,3022,360,1,0
0,1,3,0,0,3167,4000,300,0,1
0,1,3,1,1,3333,2166,360,1,0
1,0,0,0,0,3846,0,360,1,0
0,1,1,0,1,2395,0,360,1,1
1,1,2,0,0,1378,1881,360,1,1
0,1,0,0,0,6000,2250,360,1,1
0,1,1,0,0,3988,0,240,1,0
0,0,0,0,0,2366,2531,360,1,0
0,1,2,1,0,3333,2000,360,1,0
0,1,0,0,0,2500,2118,360,1,0
0,0,0,0,0,8566,0,360,1,1
0,1,0,0,0,5695,4167,360,1,1
0,1,0,0,0,2958,2900,360,1,0
0,1,2,0,0,6250,5654,180,1,1
0,1,2,1,0,3273,1820,360,1,0
0,0,0,0,0,4133,0,360,1,0
0,0,0,1,0,3620,0,148.882534119623,1,0
0,0,0,0,0,6782,0,360,1,1
1,1,0,0,0,2484,2302,360,1,0
0,1,0,0,0,1977,997,360,1,0
0,1,0,1,0,4188,0,180,1,0
0,1,0,0,0,1759,3541,360,1,0
0,1,2,1,0,4288,3263,180,1,0
0,0,0,0,0,4843,3806,360,1,1
0,1,1,0,0,13650,0,360,1,1
0,1,0,0,0,4652,3583,360,1,1
0,1,1,0,0,3816,754,360,1,1
0,1,1,0,0,3052,1030,360,1,0
0,1,2,0,0,11417,1126,360,1,1
0,0,0,1,0,7333,0,360,1,0
0,1,2,0,0,3800,3600,360,0,1
0,1,3,1,0,2071,754,480,1,0
0,0,0,0,0,5316,0,360,1,0
1,1,0,0,0,2929,2333,360,1,0
0,1,0,1,0,3572,4114,342,0,1
1,0,1,0,1,7451,0,360,1,1
0,0,0,0,0,5050,0,360,1,0
0,1,1,0,0,14583,0,180,1,1
1,1,0,0,0,3167,2283,360,1,1
0,1,1,0,0,2214,1398,360,1,0
0,1,0,0,0,5568,2142,360,1,1
1,0,0,0,0,10408,0,360,1,1
0,1,1,0,0,5667,2667,360,1,1
1,0,0,0,0,4166,0,360,1,0
1,0,0,0,0,2137,8980,360,0,0
0,1,2,0,0,2957,0,360,1,0
0,1,0,1,0,4300,2014,360,1,1
1,0,0,0,0,3692,0,360,1,0
0,1,3,0,0,23730.5843035491,0,360,1,1
0,0,0,0,0,3865,1640,360,1,1
0,1,1,0,1,10513,3850,180,0,1
0,1,0,0,0,6080,2569,360,1,1
0,0,0,0,1,20166,0,480,1,1
0,0,0,0,0,2014,1929,360,1,0
0,0,0,0,0,2718,0,360,1,0
0,1,0,0,1,3459,0,148.882534119623,1,0
0,0,0,0,0,4895,0,360,1,0
0,1,3,0,0,4000,7750,360,1,1
1,1,0,0,0,4583,0,360,1,0
0,1,2,0,1,3316,3500,360,1,0
0,0,0,0,0,14999,0,360,0,1
0,1,2,1,0,4200,1430,360,1,0
0,1,2,0,0,5042,2083,360,1,1
0,0,0,0,0,5417,0,360,1,1
0,0,0,0,1,6950,0,180,1,1
0,1,0,0,0,2698,2034,360,1,0
0,1,2,0,0,11757,0,180,1,1
1,1,0,0,0,2330,4486,360,1,0
1,1,2,0,0,14866,0,360,1,0
0,1,1,0,0,1538,1425,360,1,0
1,0,0,0,0,10000,1666,360,1,1
0,1,0,0,0,4860,830,360,1,0
0,0,0,0,0,6277,0,360,0,0
0,1,0,0,1,2577,3750,360,1,1
0,0,0,0,0,9166,0,360,1,1
0,1,2,1,0,2281,0,360,1,0
0,0,0,0,0,3254,0,360,1,0
0,1,3,0,0,23730.5843035491,0,180,0,1
0,1,1,0,0,6000,0,360,1,1
0,1,1,0,0,9538,0,360,1,1
0,0,0,0,0,2980,2083,360,1,0
0,1,0,0,0,4583,5625,360,1,1
0,1,0,1,0,1863,1041,360,1,0
0,1,0,0,0,7933,0,360,1,1
0,1,1,0,0,3089,1280,360,0,0
0,1,2,0,0,4167,1447,360,1,1
0,1,0,0,0,9323,0,180,1,0
0,1,0,0,0,3707,3166,342,1,1
1,1,0,0,0,4583,0,360,1,0
0,1,0,0,0,2439,3333,360,1,0
0,0,0,0,0,2237,0,480,0,0
0,1,2,0,0,8000,0,360,1,1
0,1,0,1,0,1820,1769,360,1,0
0,1,3,0,0,23730.5843035491,0,300,1,1
0,1,3,1,0,3522,0,180,1,0
0,1,0,0,0,5708,5625,360,1,1
0,1,0,1,1,4344,736,360,1,0
0,1,0,0,0,3497,1964,360,1,0
0,1,2,0,0,2045,1619,360,1,0
0,1,3,0,0,5516,10399.9911456341,360,0,1
0,1,1,0,0,3750,0,360,1,0
0,0,0,1,0,2333,1451,480,0,0
0,1,1,0,0,6400,7250,360,0,1
0,0,0,0,0,1916,5063,360,1,0
0,1,0,0,0,4600,0,180,1,0
0,1,1,0,0,23730.5843035491,0,360,1,1
1,1,0,0,0,3625,0,360,1,0
0,1,0,0,1,23730.5843035491,4750,360,1,0
0,1,1,0,1,2178,0,300,0,0
0,1,0,0,0,2383,2138,360,1,0
0,1,0,0,1,674,5296,360,1,1
0,1,0,0,0,9328,0,180,1,1
0,0,0,1,0,4885,0,360,1,0
0,0,0,0,0,12000,0,360,1,1
0,1,0,1,0,6033,0,360,1,1
0,0,0,0,0,3858,0,360,1,0
0,0,0,0,0,4191,0,360,1,0
0,1,1,0,0,3125,2583,360,1,1
0,0,0,0,0,8333,3750,360,1,1
1,0,0,1,0,1907,2365,342,1,0
1,1,0,0,0,3416,2816,360,1,0
0,0,0,0,1,11000,0,360,1,0
0,1,1,1,0,2600,2500,360,1,0
0,0,2,0,0,4923,0,360,0,1
0,1,3,1,0,3992,0,180,1,1
0,1,1,1,0,3500,1083,360,1,0
0,1,2,1,0,3917,0,360,1,0
1,0,0,1,0,4408,0,360,1,0
1,0,0,0,0,3244,0,360,1,0
0,0,0,1,0,3975,2531,360,1,0
0,0,0,0,0,2479,0,360,1,0
0,0,0,0,0,3418,0,360,1,0
1,0,0,0,0,10000,0,360,1,1
0,1,3,0,0,3430,1250,360,0,0
0,1,1,0,1,7787,0,360,1,1
0,1,3,1,1,5703,0,360,1,0
0,1,0,0,0,3173,3021,360,1,0
0,1,3,1,0,3850,983,360,1,0
0,1,0,0,0,150,1800,360,1,0
0,1,0,0,0,3727,1775,360,1,0
0,1,2,0,0,5000,0,360,0,0
1,1,2,0,0,4283,2383,360,1,0
0,1,0,0,0,2221,0,360,0,0
0,1,2,0,0,4009,1717,360,1,0
0,0,0,0,0,2971,2791,360,1,0
0,1,0,0,0,7578,1010,342,1,1
0,1,0,0,0,6250,0,360,1,0
0,1,0,0,0,3250,0,360,1,1
0,1,1,1,1,4735,0,360,1,0
0,1,2,0,0,6250,1695,360,1,1
0,1,1,0,0,4758,0,480,1,1
0,0,0,0,1,6400,0,360,1,1
0,1,1,0,0,2491,2054,360,1,0
0,1,0,0,0,3716,0,180,1,0
0,0,0,1,0,3189,2598,342,1,0
1,0,0,0,0,8333,0,360,1,1
0,1,1,0,0,3155,1779,360,1,0
0,1,1,0,0,5500,1260,360,1,1
0,1,0,0,0,5746,0,360,1,1
1,0,0,0,1,3463,0,360,1,0
1,0,1,0,0,3812,0,360,1,0
0,1,1,0,0,3315,0,360,1,0
0,1,2,0,0,5819,5000,360,1,0
0,1,1,1,0,2510,1983,180,1,0
0,0,0,0,0,2965,5701,148.882534119623,1,1
0,1,2,0,1,6250,1300,360,1,0
0,1,0,1,0,3406,4417,360,1,0
0,0,0,0,1,6050,4333,180,1,0
0,1,2,0,0,9703,0,360,1,0
0,1,1,1,0,6608,0,180,1,0
0,1,1,0,0,2882,1843,480,1,0
0,1,0,0,0,1809,1868,360,1,0
0,1,0,1,0,1668,3890,360,0,1
1,0,2,0,0,3427,0,360,1,0
0,0,0,1,1,2583,2167,360,1,0
0,1,1,1,0,2661,7101,180,1,1
0,0,0,0,1,16250,0,360,0,1
1,0,3,0,0,3083,0,360,1,1
0,0,0,1,0,6045,0,360,0,0
0,1,3,0,0,5250,0,360,1,0
0,1,0,0,0,14683,2100,360,1,1
0,1,3,1,0,4931,0,360,1,0
0,1,1,0,0,6083,4250,360,1,1
0,0,0,0,0,2060,2209,360,1,0
1,0,1,0,0,3481,0,148.882534119623,1,1
1,0,0,0,0,7200,0,360,1,0
0,0,0,0,1,5166,0,360,1,0
0,0,0,0,0,4095,3447,360,1,1
0,1,2,0,0,4708,1387,360,1,1
0,1,3,0,0,4333,1811,360,0,1
1,0,0,0,0,3418,0,360,1,0
1,0,1,0,0,2876,1560,360,1,0
1,0,0,0,0,3237,0,360,1,0
0,1,0,0,0,11146,0,360,1,0
0,0,0,0,0,2833,1857,360,1,0
0,1,0,0,0,2620,2223,360,1,1
0,1,2,0,0,3900,0,360,1,0
0,1,1,0,0,2750,1842,360,1,0
0,1,0,0,0,3993,3274,360,1,1
0,1,0,0,0,3103,1300,360,1,0
0,1,0,0,0,14583,0,360,1,1
1,1,0,1,0,4100,0,360,1,0
0,0,1,1,1,4053,2426,360,0,1
0,1,0,0,0,3927,800,360,1,0
0,1,2,0,0,2301,986,180,1,0
1,0,0,0,0,1811,1666,360,1,0
0,1,0,0,0,20667,0,360,1,1
0,0,0,0,0,3158,3053,360,1,0
1,0,0,0,1,2600,1717,300,1,0
0,1,0,0,0,3704,2000,360,1,0
1,0,0,0,0,4124,0,360,1,0
0,0,0,0,0,9508,0,360,1,1
0,1,0,0,0,3075,2416,360,1,0
0,1,2,0,0,4400,0,360,0,0
0,1,2,0,0,3153,1560,360,1,0
1,0,1,0,0,5417,0,480,0,0
0,1,0,0,0,2383,3334,360,1,1
0,1,3,0,0,4416,1250,360,1,0
0,1,1,0,0,6875,0,360,1,1
1,1,1,0,0,4666,0,360,1,0
1,0,0,0,0,5000,2541,480,1,1
0,1,1,0,0,2014,2925,360,1,0
0,1,0,1,0,1800,2934,360,0,0
0,1,1,1,0,2875,1750,360,1,0
1,0,0,0,0,5000,0,360,1,0
0,1,1,0,0,1625,1803,360,1,0
0,0,0,0,0,4000,2500,360,1,0
0,0,0,1,0,2000,0,360,1,1
1,0,0,0,0,3762,1666,360,1,0
1,0,0,0,0,2400,1863,360,0,0
0,0,0,0,0,20233,0,360,1,1
0,1,2,1,0,7667,0,360,1,1
1,0,0,0,0,2917,0,360,1,0
0,0,0,1,0,2927,2405,360,1,0
1,0,0,0,0,2507,0,360,1,0
0,1,2,0,1,5746,0,148.882534119623,1,0
0,1,0,0,0,2473,1843,360,1,1
0,1,1,1,0,3399,1640,180,1,0
0,1,2,0,0,3717,0,360,1,0
0,1,0,0,0,2058,2134,360,1,0
1,0,1,0,0,3541,0,360,1,0
0,1,1,0,1,10000,0,360,1,1
0,1,0,0,0,2400,2167,360,1,0
0,1,3,0,0,4342,189,360,1,0
0,1,2,1,0,3601,1590,360,1,1
1,0,0,0,0,3166,2985,360,1,0
0,1,3,0,0,15000,0,360,1,1
0,1,1,0,1,8666,4983,360,0,1
0,0,0,0,0,4917,0,360,0,0
0,1,0,0,1,5818,2160,360,1,1
1,1,0,0,0,4333,2451,360,1,0
1,0,0,0,0,2500,0,360,1,0
0,0,1,0,0,4384,1793,360,1,0
0,0,0,0,0,2935,0,360,1,0
0,0,1,0,0,2833,0,360,1,0
0,1,0,0,0,23730.5843035491,0,180,1,1
0,1,1,0,1,9833,1833,180,1,1
0,1,1,0,1,5503,4490,342,1,0
0,1,1,0,0,5250,688,360,1,1
0,1,2,0,1,2500,4600,360,1,1
1,0,3,1,0,1830,0,360,0,1
1,0,0,0,0,4160,0,360,1,0
0,1,3,1,0,2647,1587,360,1,1
1,0,0,0,0,2378,0,360,1,0
0,1,1,1,0,4554,1229,360,1,1
0,1,3,1,0,3173,0,360,1,0
0,1,2,0,0,2583,2330,360,1,0
0,1,0,0,0,2499,2458,360,1,1
0,1,1,1,0,3523,3230,360,0,1
0,1,2,1,0,3083,2168,360,1,0
0,1,0,0,0,6333,4583,360,1,1
0,1,0,0,0,2625,6250,360,1,1
0,1,0,0,0,9083,0,360,1,1
0,0,0,0,0,8750,4167,360,1,1
0,1,3,0,0,2666,2083,360,1,0
1,1,0,0,1,5500,0,360,0,0
1,1,0,0,0,2423,505,360,1,0
1,0,1,0,0,3813,0,180,1,0
0,1,2,0,0,8333,3167,360,1,1
0,1,1,0,0,3875,0,360,1,0
0,1,0,1,0,3000,1666,480,0,0
0,1,3,0,0,5167,3167,360,1,1
1,0,1,0,0,4723,0,360,1,0
0,1,2,0,0,5000,3667,360,1,1
0,1,0,0,0,4750,2333,360,1,0
0,1,0,0,0,3013,3033,300,1,0
0,0,0,0,1,6822,0,360,1,0
0,0,0,1,0,6216,0,360,1,0
0,0,0,0,0,2500,0,480,1,0
0,0,0,0,0,5124,0,342,0,0
0,1,1,0,0,6325,0,360,1,1
0,1,0,0,0,19730,5266,360,1,1
1,0,0,0,1,15759,0,360,1,0
0,1,2,0,0,5185,0,360,1,1
0,1,2,0,1,9323,7873,300,1,1
0,0,1,0,0,3062,1987,180,0,0
1,0,0,0,0,2764,1459,360,1,0
0,1,0,0,0,4817,923,180,1,0
0,1,3,0,0,8750,4996,360,1,0
0,1,0,0,0,4310,0,360,1,0
0,0,0,0,0,3069,0,480,1,0
0,1,2,0,0,5391,0,360,1,0
0,1,0,0,0,3333,2500,360,1,0
0,0,0,0,0,5941,4232,360,1,1
1,0,0,0,0,6000,0,360,1,1
0,0,0,0,1,7167,0,360,1,0
0,1,2,0,0,4566,0,360,1,0
0,0,1,0,0,3667,0,180,1,0
0,0,0,1,0,2346,1600,360,1,0
0,1,0,1,0,3010,3136,360,0,1
0,1,0,0,0,2333,2417,360,1,0
0,1,0,0,0,5488,0,360,1,0
0,0,3,0,0,9167,0,360,1,1
0,1,3,0,0,9504,0,360,1,1
0,1,0,0,0,2583,2115,360,1,0
0,1,2,1,0,1993,1625,180,1,0
0,1,2,0,0,3100,1400,360,1,0
0,1,2,0,0,3276,484,360,1,0
1,0,0,0,0,3180,0,360,0,0
0,1,0,0,0,3033,1459,360,1,0
0,0,0,1,0,3902,1666,360,1,0
1,0,0,0,0,1500,1800,360,0,0
0,1,2,1,0,2889,0,180,0,0
0,0,0,1,0,2755,0,300,1,0
0,0,0,0,0,2500,10399.9911456341,360,1,0
1,0,0,1,0,1963,0,360,1,0
1,0,0,0,1,7441,0,360,1,1
1,0,0,0,0,4547,0,360,1,0
0,1,0,1,0,2167,2400,360,1,0
1,0,0,1,0,2213,0,360,1,0
0,1,1,0,0,8300,0,300,0,1
0,1,3,0,0,23730.5843035491,0,360,0,1
1,0,1,1,1,3867,0,360,1,0
0,1,0,0,0,6256,0,360,1,1
0,1,0,1,0,6096,0,360,0,1
0,1,0,1,0,2253,2033,360,1,0
1,1,0,1,0,2149,3237,360,0,1
1,0,0,0,0,2995,0,360,1,0
1,0,1,0,0,2600,0,360,1,1
0,1,2,0,1,1600,10399.9911456341,360,1,1
0,1,0,0,0,1025,2773,360,1,0
0,1,0,0,0,3246,1417,360,1,0
0,1,0,0,0,5829,0,360,1,0
1,0,0,1,0,2720,0,342,0,0
0,1,0,0,0,1820,1719,360,1,0
0,1,1,0,0,7250,1667,342,0,0
0,1,0,0,0,14880,0,360,1,0
0,1,0,0,0,2666,4300,360,1,0
1,0,1,1,0,4606,0,360,1,0
0,1,2,0,0,5935,0,360,1,0
0,1,0,0,0,2920,16,360,1,0
0,0,0,1,0,2717,0,180,1,0
1,0,1,0,1,8624,0,360,1,1
0,0,0,0,0,6500,0,360,0,0
0,0,0,0,0,12876,0,360,1,1
0,1,0,0,0,2425,2340,360,1,0
0,0,0,0,0,3750,0,360,1,0
1,1,1,0,0,10047,0,240,1,1
0,0,0,0,0,1926,1851,360,1,0
0,1,0,0,0,2213,1125,360,1,1
0,0,0,0,1,10416,0,360,0,1
1,1,0,1,1,7142,0,360,1,0
0,0,0,0,0,3660,5064,360,1,1
0,1,0,0,0,7901,1833,360,1,1
0,0,3,1,0,4707,1993,360,1,1
0,0,1,0,0,23730.5843035491,0,360,1,1
0,1,0,0,0,7333,8333,300,1,1
0,1,1,0,1,3466,1210,360,1,0
0,1,2,1,0,4652,0,360,1,0
0,1,0,0,0,3539,1376,360,1,0
0,1,2,0,0,3340,1710,360,0,1
0,0,1,1,1,2769,1542,360,1,1
0,1,2,1,0,2309,1255,360,0,0
0,1,2,1,0,1958,1456,300,1,0
0,1,0,0,0,3948,1733,360,0,1
0,1,0,0,0,2483,2466,180,0,0
0,0,0,0,1,7085,0,360,1,0
0,1,2,0,0,3859,0,360,1,0
0,1,0,0,0,4301,0,360,1,0
0,1,0,0,0,3708,2569,360,1,1
0,0,2,0,0,4354,0,360,1,0
0,1,0,0,0,8334,0,360,1,1
0,1,0,0,1,2083,4083,360,1,1
0,1,3,0,0,7740,0,180,1,0
0,1,0,0,0,3015,2188,360,1,1
1,0,1,1,0,5191,0,360,1,0
0,0,0,0,0,4166,0,360,0,0
0,0,0,0,0,6000,0,360,1,0
0,1,3,1,0,2947,1664,180,0,0
0,1,0,0,0,16692,0,360,1,0
1,1,2,1,0,210,2917,360,1,0
0,1,0,0,0,4333,2451,360,1,0
0,1,1,0,1,3450,2079,360,1,1
0,1,1,1,0,2653,1500,180,0,0
0,1,3,0,0,4691,0,360,1,0
1,0,0,0,1,2500,0,360,1,0
0,0,2,0,0,5532,4648,360,1,1
0,1,2,0,1,16525,1014,360,1,1
0,1,2,0,0,6700,1750,300,1,1
0,1,2,0,0,2873,1872,360,0,0
0,1,1,0,1,16667,2250,360,1,0
0,1,2,0,0,2947,1603,360,1,1
1,0,0,1,0,4350,0,360,1,1
0,1,3,1,0,3095,0,360,1,0
0,1,0,0,0,2083,3150,360,1,0
0,1,0,0,0,10833,0,360,1,1
0,1,2,0,0,8333,0,360,1,1
0,1,1,1,0,1958,2436,360,1,0
0,0,2,0,0,3547,0,360,0,0
0,1,1,0,0,18333,0,360,1,1
0,1,2,0,1,4583,2083,360,1,1
0,0,0,0,0,2435,0,360,1,0
0,0,0,1,0,2699,2785,360,1,0
0,1,1,1,0,5333,1131,360,1,1
0,0,0,1,0,3691,0,360,1,0
1,0,0,1,1,17263,0,360,1,1
0,1,0,0,0,3597,2157,360,0,0
1,1,1,0,0,3326,913,148.882534119623,1,0
0,1,0,1,0,2600,1700,360,1,0
0,1,0,0,0,4625,2857,148.882534119623,1,0
0,1,1,0,1,2895,0,360,1,0
0,0,0,0,0,6283,4416,360,0,1
1,0,0,0,0,645,3683,480,1,0
1,0,0,0,0,3159,0,360,1,0
0,1,2,0,0,4865,5624,360,1,1
0,1,1,1,0,4050,5302,360,1,0
0,1,0,1,0,3814,1483,300,1,0
0,1,2,0,0,3510,4416,360,1,1
0,1,0,0,0,20833,6667,360,1,1
0,0,0,0,0,3583,0,360,1,0
0,1,0,0,1,2479,3013,360,1,1
1,0,1,0,0,13262,0,360,1,0
0,0,0,1,0,3598,1287,360,1,0
0,1,1,0,0,6065,2004,360,1,1
0,1,2,0,0,3283,2035,360,1,1
0,1,0,0,0,2130,6666,180,1,0
0,0,0,0,0,5815,3666,360,1,1
0,1,3,0,0,3466,3428,360,1,1
1,1,2,0,0,2031,1632,480,1,0
0,1,1,1,0,3074,1800,360,0,0
0,0,0,0,0,4683,1915,360,1,1
1,0,0,1,0,3400,0,360,1,0
0,1,2,1,0,2192,1742,360,1,0
0,0,0,0,0,2500,0,360,1,0
0,1,3,0,1,5677,1424,360,1,0
0,1,2,0,1,7948,7166,360,1,1
0,0,0,0,0,4680,2087,360,1,1
0,1,2,0,1,17500,0,360,1,1
0,1,0,0,0,3775,0,360,1,0
0,1,1,1,0,5285,1430,360,0,1
0,0,1,1,0,2679,1302,360,1,0
0,0,0,1,0,6783,0,360,1,0
0,1,0,0,0,1025,5500,360,1,1
0,1,3,0,0,4281,0,360,1,0
0,0,2,0,0,3588,0,360,0,0
0,0,1,0,0,11250,0,360,1,1
1,0,0,1,1,18165,0,360,1,0
0,0,0,1,0,2550,2042,360,1,0
0,1,0,0,0,6133,3906,360,1,1
0,0,2,0,0,3617,0,360,1,0
0,1,0,1,0,2917,536,360,1,0
0,1,3,0,0,6417,0,180,1,1
1,1,1,0,0,4608,2845,180,1,0
1,0,0,0,0,2138,0,360,0,0
1,0,1,0,0,3652,0,360,1,0
0,1,1,1,0,2239,2524,360,1,0
1,1,0,1,0,3017,663,360,1,0
0,1,0,0,0,2768,1950,360,1,1
0,0,0,1,0,3358,0,148.882534119623,1,0
0,0,0,0,0,2526,1783,360,1,0
1,0,0,0,0,5000,0,360,0,0
0,1,0,0,0,2785,2016,360,1,0
0,1,2,0,1,6633,0,360,0,1
0,1,1,1,0,2492,2375,360,1,1
0,1,1,0,0,3333,3250,360,1,1
0,1,0,1,0,2454,2333,360,0,1
0,1,0,0,0,3593,4266,180,0,0
0,1,1,0,0,5468,1032,360,1,0
1,0,0,0,0,2667,1625,360,1,0
0,1,3,0,1,10139,0,360,1,1
0,1,0,0,0,3887,2669,360,1,1
1,1,0,0,0,4180,2306,360,1,1
0,1,2,1,0,3675,242,360,1,0
1,1,1,0,1,19484,0,360,1,1
0,1,0,0,0,5923,2054,360,1,1
0,0,0,1,1,5800,0,360,1,0
0,1,2,0,0,8799,0,360,0,1
0,1,0,1,0,4467,0,360,1,0
0,0,0,0,0,3333,0,360,1,0
0,1,3,0,0,3400,2500,360,0,0
1,0,0,0,0,2378,0,360,1,0
0,1,0,0,0,3166,2064,360,0,0
0,1,1,0,0,3417,1750,360,1,1
0,1,1,0,0,5116,1451,360,0,1
0,1,2,0,0,16666,0,360,1,1
0,1,2,1,0,6125,1625,480,1,1
0,1,3,0,0,6406,0,360,1,1
0,1,2,0,0,3159,461,148.882534119623,1,0
0,1,0,0,0,3087,2210,360,0,0
0,0,0,0,0,3229,2739,360,1,0
0,1,1,0,0,1782,2232,360,1,0
0,0,0,0,0,3182,2917,360,1,1
0,1,2,0,0,6540,0,360,1,1
0,0,0,0,0,1836,10399.9911456341,360,1,0
1,1,0,0,0,3166,0,360,1,0
0,1,1,0,0,1880,0,360,1,0
0,1,1,0,0,2787,1917,360,0,1
0,1,1,0,0,4283,3000,148.882534119623,1,1
0,1,0,0,0,2297,1522,360,1,0
1,0,0,1,0,2165,0,360,1,0
0,0,0,0,0,4750,0,360,1,0
0,1,2,0,1,2726,0,360,0,0
0,1,0,0,0,3000,3416,180,1,0
0,1,2,0,1,6000,0,240,1,1
0,0,3,0,1,9357,0,360,1,1
0,1,0,0,0,3859,3300,180,1,0
0,1,0,0,1,16120,0,360,1,1
0,0,0,1,0,3833,0,360,1,0
0,1,2,1,1,6383,1000,360,1,1
0,0,1,0,0,2987,0,360,0,0
0,1,0,0,1,9963,0,360,1,1
0,1,2,0,0,5780,0,360,1,1
1,0,3,0,0,416,10399.9911456341,180,1,1
0,1,0,1,0,2894,2792,360,1,1
0,1,3,0,0,5703,0,360,1,0
0,0,0,0,0,3676,4301,360,1,1
1,1,1,0,0,12000,0,360,1,1
0,1,0,1,0,2400,3800,180,1,1
0,1,1,0,0,3400,2500,360,1,1
0,1,2,1,0,3987,1411,360,1,1
0,1,0,0,0,3232,1950,360,1,0
1,0,0,0,0,2900,0,360,1,0
0,1,3,0,0,4106,0,180,1,0
0,1,1,0,0,8072,240,360,1,1
0,1,2,0,0,7583,0,360,1,1
1,0,0,0,1,4583,0,360,0,0
